imgName,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49
153,-2753.546245,4376.727319,710.5842545,1306.022985,1559.412672,-2176.123073,1373.13845,-666.826307,-351.9094264,159.1486357,1168.44795,2272.219301,-1275.509206,-2028.063874,-2715.082613,-1188.674131,-548.0732513,679.5085555,774.6243028,1020.943576,209.8333384,-409.603445,1249.438774,-119.9122085,-252.6878461,-1292.160305,-125.2937476,-365.3022749,94.86587659,-1493.94915,-909.5781406,-685.1267774,712.214612,545.6708995,461.8405468,428.7624648,-1051.59067,595.6000365,-647.3785051,-419.0554433,292.1835093,87.75859432,232.9981607,-273.6433213,-978.947661,725.088398,310.6786192,600.8611342,499.0213581,-206.2957648
156,-2270.765744,79.2382386,-1044.119458,821.9046192,-209.6550542,1469.793959,-498.3081441,1123.918802,-1316.335528,-234.8884215,-1070.971882,686.7168794,-220.9449125,110.0250903,-513.806914,-228.6311848,1064.825085,863.9605224,-718.9911985,-526.8112024,1767.250767,-543.0093352,218.4829442,-1577.865318,1153.994838,181.3985538,-715.5281255,-832.280204,248.2929636,-43.34514204,-0.839551325,367.9599869,-1413.485902,-798.5295265,335.1282449,-282.7466817,-256.0660063,-3.748487749,546.7905592,464.5368281,-11.78523918,-398.4652631,-329.1506506,97.2172055,508.9833466,451.3361637,153.4894243,-989.309582,-457.5339649,-3.740747309
157,1386.089939,691.7090155,324.7620955,-3475.913667,21.40567276,1736.016928,-114.2462682,-970.7400317,-38.81861146,-768.4437882,43.60777478,404.9556713,-197.1566466,77.66575194,662.333801,355.2292046,770.3250458,-837.2687926,1023.462746,937.694621,-471.2737731,446.1207444,55.98246217,452.8412802,-1079.173528,718.6567909,-668.5665698,600.070618,429.8632978,299.7621296,438.7497623,-589.7480361,-542.1963737,-669.8116678,235.5476388,-470.4161981,351.7519106,202.6720893,-406.9279206,292.260279,-245.4061509,290.23269,-205.0622423,-241.1261646,-311.2908516,24.86520452,-151.6265037,-825.3641352,-157.5604971,-7.610716932
158,-2111.333037,-893.6478983,313.3953147,-31.61598044,-1496.471187,-969.5426236,-649.314387,-335.8457381,181.9711153,-1587.061583,-201.613848,403.9977344,176.776829,-213.142744,-1643.315822,10.18861962,-477.8980837,-467.842256,54.71775271,61.00386923,-145.0341812,422.7563626,-75.24062475,1573.356228,161.8918056,-1013.004077,223.8966672,-329.5083762,149.7619764,604.6961765,-375.766175,-915.4967254,-7.731081608,-72.92212785,-421.3136607,-606.668458,71.22644667,183.812815,595.835423,-418.9337965,-606.4662254,737.7483592,-394.4034471,631.0043345,367.6122645,-582.8935482,193.0475708,-539.8976788,224.2273316,-78.34728693
159,-378.1952355,-2376.545796,-1424.373126,-1598.621706,1776.945381,-623.9963511,455.1903343,-834.3170867,-106.4281636,907.0418706,909.8688336,-990.1390903,-305.9896203,-2307.460339,1094.904806,1478.275467,326.7540114,211.5114778,-896.1261115,-100.769745,-220.4014418,-578.0210242,940.3934742,449.357382,1225.293785,576.867615,-43.54550521,-655.2059109,-656.2822623,-334.0652957,-856.8052558,-538.1654282,-226.947558,156.6033257,602.0931619,-160.4308573,531.8116504,-569.5724755,-243.3780162,-429.0740864,-818.4772456,-41.88314076,175.0472141,430.7639305,-141.6854403,-606.4631433,529.3704893,197.8565744,-393.5041098,-300.0990452
164,-123.9835337,-1643.299716,-125.5809057,-1353.598887,2401.939367,-1511.823602,-1203.224132,382.1878113,-2486.494784,849.0118381,525.6929731,-1205.497204,383.2691041,-1290.514129,-299.4225231,521.5990911,430.990216,-1546.266647,245.3004984,-392.507963,-1136.182295,339.3796458,346.6074571,-2063.9533,72.08685147,242.6069694,286.3032031,41.54157434,57.42136406,34.36077848,-823.0584065,-689.3251897,-630.6586824,-651.6115551,498.1325993,-97.10664434,438.8192334,-588.1027212,-511.9076119,162.2093956,627.3301101,448.810671,558.14276,-608.4861641,-608.2683919,73.73033635,81.75028325,-57.45472849,-324.704182,-177.5846018
160,-969.1316366,-371.6764812,-312.9663435,2722.136628,-998.3011311,-74.10520902,-678.4090054,437.4746959,-550.5774553,754.5509976,-21.47578736,-981.718061,-2492.192711,325.9000217,298.7577297,1084.745791,-223.7132035,-1327.134501,-1560.13571,-904.4907491,-755.3624876,-1078.535862,369.0763808,1236.399823,-224.6970993,499.8574908,-633.1725361,676.9559615,63.43984378,-213.7132787,515.7308201,143.6213026,-119.1575661,-112.1645987,-379.6205853,-74.82981544,-177.4233553,204.8451909,-88.11766224,545.4457034,401.0010649,-385.3636292,91.01591145,695.9022637,-408.6458958,577.0231445,-0.874270352,-471.1913541,1108.461495,-202.3180825
171,2076.123275,172.9211433,733.3548376,-3463.496136,-697.1522662,-1333.021279,1125.789721,-1094.092216,-2940.124336,632.889915,87.35810786,792.6330818,-915.4679664,1064.174925,-55.22844672,723.5912306,40.35242759,-1291.518243,-2182.926292,678.3171839,1204.525819,-429.4777317,-311.9850258,-1270.401035,-190.7058639,-459.7283099,1305.178941,-389.954802,-425.6485872,-239.7934487,-561.636446,-33.73709654,525.616246,158.5523836,-440.062232,838.2332283,-1231.917008,-318.8925343,302.0950436,122.4725534,116.784582,201.203328,-425.0499526,486.1292492,-116.7810327,-55.188845,96.27921604,642.4514779,-1006.362022,793.1129081
172,-2330.213189,3446.158937,627.6791737,929.2298645,983.295137,-1186.117862,482.2878376,563.9311165,400.2480776,-2179.205274,4486.84139,425.436007,576.419644,-336.0123116,330.7817529,-516.5377325,-1065.328125,-5.879488931,-929.9616142,667.2123253,-555.7349513,890.3560859,-369.0418572,55.34257592,-385.2404674,-44.00863963,245.9726325,335.4560079,-289.4042762,-98.8897894,-836.0175624,1670.236731,242.2945593,-795.9201892,829.7647763,-155.5518126,775.0410744,-168.2851125,942.2153338,688.6513512,-898.1054958,-449.2578789,115.7926987,-183.9348623,80.07242647,56.97120824,-486.7931175,67.00359997,185.2337812,185.5746749
175,-3499.489501,-613.5586851,747.7758119,15.7378072,-483.0438637,-1448.688717,239.0393942,-386.2731584,1150.801428,-281.9291838,-1437.512022,68.81655372,-591.9101249,-223.0348467,29.83392125,282.2893974,-345.0121867,1444.325209,76.51525779,271.765156,-506.9485538,-126.3347217,305.2699576,-75.06114247,100.5646773,-390.9858766,-1414.205366,-90.50113664,195.3574601,738.4002233,-541.5868692,718.2211683,-450.3744681,493.39752,-298.5543202,-226.7381249,-1106.840796,-426.8549808,722.7400667,623.0890629,309.8310746,392.0679017,578.9374116,-64.99201235,139.5581591,112.523535,57.63524047,-396.2721607,188.2356451,-200.2616631
